,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
NC.BANTOID.D28_HOLOHOLO,0,-,-,-,0,0,0,1,Atlantic-Congo
Tup.MONDE.GAVIAO_DO_RONDONIA,0,1,1,1,-,1,-,1,Tupian
IE.INDIC.GUJARATI,1,1,1,-,1,1,-,1,Indo-European
An.OCEANIC.KWAIO,0,0,0,-,1,0,-,1,Austronesian
NC.GBAYA_MANZA_NGBAKA.KARA_BODOE,1,-,0,0,0,0,-,1,Atlantic-Congo
AA.BIU_MANDARA.GAANDA,0,0,0,0,-,0,0,-,Afro-Asiatic
Aus.WORORAN.GUNIN_KWINI,0,1,0,1,-,-,-,-,Worrorran
Krd.KATLA_TIMA.KATLA,0,-,0,0,-,0,0,1,Katla-Tima
MGe.GUATO.GUATO,0,0,1,0,-,0,-,0,Guato
TNG.KOIARIAN.KOITA,0,-,0,1,0,1,-,1,Koiarian
NDa.LEZGIC.KRYZ,1,-,1,1,1,1,-,1,Nakh-Daghestanian
CK.NORTHERN_CHUKOTKO_KAMCHATKAN.KORYAK,1,1,1,1,-,1,-,1,Chukotko-Kamchatkan
Aus.PAMA_NYUNGAN.GUUGU_YIMIDHIR,0,-,1,-,0,1,-,1,Pama-Nyungan
TNG.AWJU_DUMUT.KOROWAI,1,-,1,1,-,1,-,1,Nuclear_Trans_New_Guinea
NC.PLATOID.TYAP,-,0,0,0,0,0,-,1,Atlantic-Congo
MGe.BOTOCUDO.KRENAK,0,-,0,1,0,1,-,1,Nuclear-Macro-Je
TNG.ANGAN.KAPAU,0,1,0,-,0,1,-,1,Angan
NC.BANTOID.HEMBA_BWINYANYEMBA,0,0,0,-,0,0,-,1,Atlantic-Congo
UA.TAKIC.CAHUILLA,1,1,-,1,-,1,0,1,Uto-Aztecan
NC.BANTOID.OYUOMI_TCHERRE,0,0,0,-,0,0,-,1,Atlantic-Congo
NC.BANTOID.KAGULU,0,0,0,-,0,0,0,-,Atlantic-Congo
An.NORTHERN_LUZON.DUPANINGAN_AGTA,1,-,-,0,1,0,-,0,Austronesian
CSu.BONGO_BAGIRMI.BONGO,-,0,-,0,-,0,-,1,Central_Sudanic
NC.BANTOID.AGHEM_ISU,0,-,0,0,0,0,-,1,Atlantic-Congo
Aus.NORTHERN_DALY.MULLUKMULLUK,0,-,0,-,0,1,-,1,Northern_Daly
NC.BANTOID.BAFIA_ROPE,0,0,0,0,0,-,0,-,Atlantic-Congo
ST.NUNGISH.ANONG,0,-,0,1,0,1,-,1,Sino-Tibetan
AuA.PALAUNG_KHMUIC.MLABRI,0,0,0,1,-,0,-,1,Austroasiatic
Ber.BERTA.WETAWIT,0,-,-,-,0,0,0,1,Berta
Pen.MIWOK.S_SIERRA_MIWOK,-,-,1,-,1,-,-,1,Miwok-Costanoan
Aus.PAMA_NYUNGAN.BADIMAYA,0,-,1,1,-,1,-,1,Pama-Nyungan
CSu.MANGBUTU_EFE.MAMVU,0,-,0,-,0,0,-,1,Central_Sudanic
NC.BANTOID.DZEKE_DIBOLE,0,0,-,-,0,0,0,1,Atlantic-Congo
Pen.MAIDUAN.NE_MAIDU,1,-,1,1,-,1,1,1,Maiduan
An.OCEANIC.AMARA,0,0,0,-,0,0,-,1,Austronesian
UA.NUMIC.WESTERN_MONO,-,1,-,1,-,1,0,1,Uto-Aztecan
Mab.MABAN.MASALIT,0,-,-,0,0,1,0,1,Maban
An.OCEANIC.AYIWO,0,0,0,0,-,0,-,1,Austronesian
Pan.PANOAN.AMAHUACA,0,1,1,1,-,1,-,-,Pano-Tacanan
Chi.CHIBCHAN_PROPER.CHIBCHA,0,-,1,1,0,1,-,1,Chibchan
Aus.PAMA_NYUNGAN.WESTERN_ARRERNTE,0,1,0,0,0,-,0,-,Pama-Nyungan
Ata.ATAKAPA.ATAKAPA,-,1,1,1,0,1,-,1,Atakapa
IE.INDIC.ASSAMESE,1,-,1,1,-,1,-,1,Indo-European
TNG.MADANG.IKUNDUN,0,-,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
Aus.MARAN.MARA,0,0,1,-,-,-,-,-,Mangarrayi-Maran
Car.CARIBAN.APALAI,0,1,-,1,-,1,-,-,Cariban
KF.KWOMTARI.NAI,-,-,-,1,-,1,0,1,Kwomtari-Nai
CSu.KRESH.AJA,1,0,-,0,-,0,-,1,Kresh-Aja
IE.INDIC.BROKSKAT,1,-,1,1,1,1,-,1,Indo-European
AA.CENTRAL_CUSHITIC.BILIN,0,1,-,1,1,1,-,-,Afro-Asiatic
ST.BODIC.LOWA,0,-,1,-,0,1,1,1,Sino-Tibetan
An.OCEANIC.MOTLAV,0,-,0,-,0,0,0,1,Austronesian
NC.BANTOID.MWERA,0,-,-,0,0,0,-,1,Atlantic-Congo
An.GREATER_CENTRAL_PHILIPPINE.MANOBO_WESTERN_BUKIDNON,1,0,1,0,-,0,-,0,Austronesian
Sep.UPPER_SEPIK.ABAU_2,-,1,0,1,0,1,-,1,Sepik
AA.LOWLAND_EAST_CUSHITIC.ARBORE_2,0,-,-,0,0,1,0,1,Afro-Asiatic
Arw.NORTHERN_ARAWAKAN.ACHAGUA,0,1,-,1,-,0,0,1,Arawakan
Aus.BUNUBAN.BUNABA,1,-,1,1,-,-,-,1,Bunaban
NC.NORTHERN_ATLANTIC.BALANTA_GANJA,0,-,0,0,0,0,-,1,Atlantic-Congo
IE.SLAVIC.BELARUSIAN,1,-,1,0,-,-,0,-,Indo-European
MGe.GE_KAINGANG.APINAYE,0,1,0,1,-,1,-,1,Nuclear-Macro-Je
An.OCEANIC.MEKEO,0,1,-,1,-,1,-,1,Austronesian
NC.KWA.BAULE,0,1,0,-,0,0,-,1,Atlantic-Congo
