,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
NC.ADAMAWA.MBUM,0,0,0,0,0,0,0,1,Atlantic-Congo
NC.UBANGI.NZAKARA,1,0,0,0,0,0,0,1,Atlantic-Congo
AA.BIU_MANDARA.MBARA,0,-,0,0,0,0,0,1,Afro-Asiatic
CSu.BONGO_BAGIRMI.MBAY,0,-,0,0,0,0,0,1,Central_Sudanic
ST.MAHAKIRANTI.DOLAKHA_NEWAR,1,1,1,1,-,1,1,1,Sino-Tibetan
NC.NUPOID.NUPE,0,0,0,0,0,0,0,1,Atlantic-Congo
TK.KAM_TAI.NUNG,0,0,0,0,1,0,0,1,Tai-Kadai
UA.AZTECAN.TETELCINGO_NAHUATL,0,0,1,0,1,0,0,-,Uto-Aztecan
AA.BIU_MANDARA.WANDALA,0,0,0,0,0,0,0,1,Afro-Asiatic
Car.CARIBAN.MAKUSHI,0,1,1,1,1,1,-,-,Cariban
UA.AZTECAN.NAHUATL_BUENOS_AIRES_ALAMO,0,0,1,0,1,0,0,0,Uto-Aztecan
Krd.HEIBAN.MORO,0,-,0,0,0,0,0,1,Heibanic
An.OCEANIC.LANGUE_DE_ISLES_MARQUISES,0,0,-,0,1,0,0,0,Austronesian
NC.GUR.BASSARI,0,-,0,1,0,0,0,1,Atlantic-Congo
Aus.PAMA_NYUNGAN.MARTUTHUNIRA,0,-,1,-,1,0,-,1,Pama-Nyungan
ST.BURMESE_LOLO.MARU,0,1,1,1,0,1,1,1,Sino-Tibetan
ST.TANI.MISING,1,1,1,1,0,1,1,1,Sino-Tibetan
NDe.ATHAPASKAN.NAVAJO,0,1,1,1,1,1,-,1,Athapaskan-Eyak-Tlingit
Sep.YELLOW_RIVER.NAMIA,0,1,0,1,0,1,-,1,Sepik
AuA.MUNDA.MUNDARI_2,1,1,1,1,1,1,1,1,Austroasiatic
AA.WEST_CHADIC.MUPUN,0,0,0,0,0,0,0,1,Afro-Asiatic
An.OCEANIC.MUSSAU_EMIRA,1,0,0,0,1,0,0,1,Austronesian
Aus.MANGARRAYI.MANGARAYI,0,0,1,-,-,1,0,1,Mangarrayi-Maran
NC.UBANGI.MAYOGO,1,0,0,0,0,0,0,1,Atlantic-Congo
OM.MIXTECAN.MIXTECO_DE_YOSONDUA,0,0,0,0,1,0,0,0,Otomanguean
OM.MIXTECAN.CHALCATONGO_MIXTEC,0,0,0,0,1,0,0,0,Otomanguean
ESu.SURMIC.MURLE,0,-,0,0,0,0,0,0,Surmic
AA.BIU_MANDARA.MARGI,0,0,0,0,0,0,0,1,Afro-Asiatic
NC.BANTOID.NDONGA_2,0,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.MANAM,0,1,0,0,0,1,0,1,Austronesian
AA.WEST_CHADIC.NGIZIM,0,0,0,0,0,0,0,1,Afro-Asiatic
An.OCEANIC.MALEU_2,0,0,0,-,0,0,0,1,Austronesian
An.GREATER_CENTRAL_PHILIPPINE.MAMANWA,-,0,1,0,1,0,0,0,Austronesian
NC.BANTOID.CHINGONI,0,0,0,0,0,0,0,1,Atlantic-Congo
An.CELEBIC.KADATUA,0,0,0,0,1,0,0,0,Austronesian
CSu.BONGO_BAGIRMI.NGAMBAY,0,0,0,0,0,0,0,1,Central_Sudanic
ST.CHINESE.MANDARIN,1,-,1,1,1,0,1,1,Sino-Tibetan
An.CENTRAL_MALAYO_POLYNESIAN.MANGGARAI,0,0,0,0,1,0,0,1,Austronesian
Ura.UGRIC.MANSI,1,1,1,1,1,1,1,1,Uralic
NC.NORTHERN_ATLANTIC.NDUT_FALOR,0,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.MONO,0,-,1,-,-,-,0,-,Austronesian
AA.BIU_MANDARA.MOFU_GUDUR,0,0,0,0,0,0,0,1,Afro-Asiatic
An.OCEANIC.MOKILESE,0,0,0,-,0,0,0,-,Austronesian
CSu.MORU_MAADI.AGI,0,1,0,0,0,-,0,1,Central_Sudanic
An.OCEANIC.NEHAN,0,0,0,0,1,0,0,1,Austronesian
TNG.OK.MIAN,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
CSu.MORU_MAADI.MAADI,0,1,0,-,0,-,0,1,Central_Sudanic
Mab.MABAN.MABA_CHAD,0,1,0,-,0,1,0,1,Maban
Que.QUECHUAN.QUECHUA_IMBABURA,1,1,1,1,1,1,1,1,Quechuan
NC.BANTOID.KWANGALI_2,0,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.KIRIBATI,0,0,0,0,1,0,0,0,Austronesian
Alt.TURKIC.KARACHAY_BALKAR,1,1,1,1,1,1,1,1,Turkic
IE.IRANIAN.KURDISH_KURMANJI,0,0,-,0,1,1,0,1,Indo-European
Kri.KARIRI.KARIRI,0,0,1,0,1,0,0,0,Unclassifiable
NC.BANTOID.PARE_TANZANIA,0,0,1,0,0,0,0,1,Atlantic-Congo
KK.KHOE_KWADI.KORANA,1,1,1,1,1,1,-,-,Khoe-Kwadi
An.OCEANIC.KAIRIRU,0,-,0,0,0,1,0,1,Austronesian
IE.SLAVIC.POLISH,1,0,1,0,1,0,0,-,Indo-European
Son.SONGHAY.KOROBORO_SENNI,0,1,0,1,0,1,0,1,Songhay
ST.KAREN.KAREN_SGAW,0,0,0,1,0,0,0,1,Sino-Tibetan
An.OCEANIC.POHNPEIAN,0,0,0,-,0,0,0,1,Austronesian
AA.BIU_MANDARA.PODOKO,-,0,1,0,0,0,0,0,Afro-Asiatic
Ura.UGRIC.KHANTY,1,1,1,1,1,1,1,1,Uralic
UA.NUMIC.NORTHERN_PAIUTE_BANNOCK,1,-,1,1,1,1,0,1,Uto-Aztecan
Kuo.KUOT.KUOT,0,0,1,0,1,0,0,0,Kuot
Ktn.KUTENAI.KUTENAI,-,-,1,0,1,0,-,0,Kutenai
Dra.SOUTH_CENTRAL_DRAVIDIAN.KUVI,1,1,1,1,1,1,1,1,Dravidian
An.CENTRAL_MALAYO_POLYNESIAN.ELPAPUTIH_SERAM_3,0,0,0,1,0,0,0,1,Austronesian
AuA.PALAUNG_KHMUIC.RUMAI,0,0,0,0,-,0,0,1,Austroasiatic
ST.KAREN.KAREN_PWO_EASTERN,0,0,0,1,0,0,0,1,Sino-Tibetan
IE.IRANIAN.PERSIAN,0,0,1,0,1,1,0,1,Indo-European
IE.IRANIAN.LAKKI_MARWAT_PASHTO,1,1,1,1,1,1,0,1,Indo-European
An.OCEANIC.PULUWATESE,0,0,0,1,1,0,0,1,Austronesian
AA.LOWLAND_EAST_CUSHITIC.AFAR,1,1,1,1,1,1,1,1,Afro-Asiatic
Tar.TARASCAN.TARASCAN,0,-,1,-,1,0,0,1,Tarascan
Tor.MARIENBERG.KAMASAU,0,1,0,1,0,1,-,1,Nuclear_Torricelli
Aus.PAMA_NYUNGAN.KUKU_UWANH,0,1,0,0,0,1,0,1,Pama-Nyungan
Dra.SOUTHERN_DRAVIDIAN.KANNADA,1,1,1,1,1,1,-,1,Dravidian
AA.WEST_CHADIC.DERA,-,0,0,0,0,0,0,1,Afro-Asiatic
Knm.KUNAMA.ILIT,0,1,0,1,0,1,0,1,Kunama
Sah.WESTERN_SAHARAN.KANURI,0,1,0,0,0,1,0,1,Saharan
An.OCEANIC.KUSAIE,0,0,0,0,0,0,0,1,Austronesian
Mus.MUSKOGEAN.KOASATI,0,1,1,1,0,1,-,1,Muskogean
TNG.MADANG.KOBON,0,1,0,1,0,1,-,1,Nuclear_Trans_New_Guinea
ESu.SURMIC.KWEGU,0,0,0,0,0,0,0,1,Surmic
An.OCEANIC.PORT_SANDWICH,0,0,0,0,0,0,0,1,Austronesian
Kor.KOREAN.KOREAN,1,1,1,1,1,1,1,1,Koreanic
ESu.NILOTIC.POKOT,0,0,-,0,0,0,0,0,Nilotic
Sep.MIDDLE_SEPIK.KWOMA,1,1,1,1,1,1,1,1,Sepik
ESu.NILOTIC.MAASAI,0,0,1,0,0,0,0,0,Nilotic
KF.KWOMTARI.KWOMTARI,-,1,1,1,0,1,1,1,Kwomtari-Nai
CSu.MORU_MAADI.LOGO,0,1,0,1,0,-,0,1,Central_Sudanic
An.OCEANIC.LONGGU,0,0,0,0,1,0,0,0,Austronesian
OM.OTOMIAN.OTOMI_MEZQUITAL,1,0,1,0,1,0,0,0,Otomanguean
ST.BURMESE_LOLO.LISU,0,1,0,1,0,1,1,1,Sino-Tibetan
IE.BALTIC.LITHUANIAN,1,0,1,1,1,0,0,1,Indo-European
Sio.SIOUAN.LAKOTA,0,1,-,-,0,1,-,1,Siouan
AA.BIU_MANDARA.LAMANG_HITKALANCHI,0,0,-,0,0,0,0,0,Afro-Asiatic
An.CENTRAL_MALAYO_POLYNESIAN.LAMAHOLOT_ILE_MANDIRI,0,-,0,-,0,0,0,1,Austronesian
IE.INDIC.LAMANI,1,1,1,1,1,1,1,1,Indo-European
An.LAMPUNGIC.LAMPUNG,0,0,0,0,1,0,0,1,Austronesian
NC.UBANGI.LINDA,1,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.LONIU,0,0,0,0,0,0,0,1,Austronesian
AA.LOWLAND_EAST_CUSHITIC.EASTERN_OROMO_2,0,1,0,0,0,1,0,1,Afro-Asiatic
CSu.MORU_MAADI.LUGBARA,0,1,0,1,0,-,0,1,Central_Sudanic
UA.TAKIC.LUISENO,0,1,1,1,1,-,0,1,Uto-Aztecan
UA.TEPIMAN.TOHONO_OODHAM,1,-,1,-,1,0,0,0,Uto-Aztecan
ESu.NILOTIC.LUO,0,0,0,0,0,0,0,1,Nilotic
NC.BANTOID.K14_LWENA_2,0,0,0,0,0,0,0,1,Atlantic-Congo
NDa.LEZGIC.KUBA_LEZGI,1,1,1,1,1,1,1,1,Nakh-Daghestanian
An.OCEANIC.LEWO_VISINA,0,0,0,0,0,0,0,1,Austronesian
An.CENTRAL_MALAYO_POLYNESIAN.LETINESE,0,0,0,1,0,0,0,1,Austronesian
ST.BURMESE_LOLO.LALO,0,1,0,1,0,1,-,1,Sino-Tibetan
Aus.PAMA_NYUNGAN.WANGKA_WIRU,0,1,0,1,0,1,-,1,Pama-Nyungan
Aus.PAMA_NYUNGAN.KOKO_YALANDJI,0,0,-,-,1,1,-,1,Pama-Nyungan
ST.KAREN.KAYAH_LI_EASTERN,0,-,0,1,0,0,0,1,Sino-Tibetan
Aru.ARAUAN.PAUMARI,0,1,1,1,0,-,0,0,Arawan
An.OCEANIC.LABU,0,0,0,1,0,0,0,1,Austronesian
An.OCEANIC.BUANG,0,0,0,1,0,0,0,1,Austronesian
ST.BURMESE_LOLO.LAHU_2,-,1,0,1,0,1,1,1,Sino-Tibetan
ST.KUKI_CHIN.CHIN_HAKA,-,1,-,1,0,1,-,1,Sino-Tibetan
ESu.NILOTIC.LANGO,0,0,0,0,0,0,0,1,Nilotic
